index, number
363,(2.322715357611096e-15+3.010095022107283e-17j)
364,(4.643487300726241e-15+8.312171258169934e-17j)
365,(3.0516955825323473e-16+2.4748456504790397e-16j)
366,(-2.0944884710095287e-15-1.0895706664169484e-16j)
367,(-1.664575325288637e-14-4.8706582960201527e-17j)
368,(-4.775355169443586e-15+2.0503074566680937e-17j)
369,(1.0901910128128826e-15-6.284597787807552e-18j)
370,(2.197032986058994e-15-2.072172514031671e-16j)
371,(-5.009186596865216e-16+6.080184480226645e-17j)
372,(1.0096537753280248e-15+5.357641326567301e-17j)
373,(-3.377961143115524e-15-4.1455065804002216e-16j)
374,(2.6349704221746136e-16+1.2022597372998196e-16j)
375,(-1.6931725898300705e-15+3.6182236987665385e-16j)
376,(4.1988672032982835e-15+3.3210975411084434e-16j)
377,(3.3109620448188516e-15+4.228321371990837e-16j)
378,(-4.994359138134338e-15-8.995627054966185e-17j)
379,(-1.305847513321779e-15-1.5336078921828173e-16j)
380,(-1.0903469409525352e-16-1.036135480712145e-16j)
381,(5.220737512134159e-16-1.0421560502839507e-16j)
382,(-1.1760377397372297e-15+1.8913337814626233e-16j)
383,(-1.8257182837280055e-15+1.6036242987790837e-17j)
384,(6.250702329282342e-15+3.6493631431378476e-17j)
385,(2.10272762175209e-15-1.795827545394202e-17j)
386,(-2.7911903718987143e-15+1.2192826525640803e-16j)
387,(-1.846239558213086e-14+9.855304374891549e-17j)
388,(-1.3314583586752214e-15+3.633794807655968e-16j)
389,(2.683599796020538e-15-3.23185202987221e-16j)
390,(-2.3256201328526276e-15-1.8717230342997601e-16j)
391,(5.171807020975233e-17+1.8990375981746775e-16j)
392,(5.719253512887497e-16-2.4368592196234146e-16j)
393,(1.3168402179607517e-16-1.0083205478511723e-16j)
394,(-1.63584484172346e-15-2.303745594424154e-16j)
395,(4.750806532134762e-15-6.213576295244501e-16j)
396,(2.8276707799463988e-15-7.051847643038901e-17j)
397,(2.6925582918177785e-15+3.1924916650402126e-16j)
398,(4.009030239217276e-15+3.0063237879342993e-16j)
